date,open,high,low,close,volume,dividend_amount,split_factor,DGS3MO,calendar_days_to_next,cash_return_to_next
2012-07-12,133.38,134.2269,132.6,133.51,143583100.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-07-13,133.86,135.89,133.84,135.75,129644100.0,0.0,1.0,0.1,3,8.21510497450717e-06
2012-07-16,135.44,135.83,134.9,135.43,97525200.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-07-17,135.97,136.64,134.55,136.36,138860200.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-07-18,136.04,137.64,135.96,137.37,113349600.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-07-19,137.65,138.18,137.21,137.73,129847200.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-07-20,136.95,137.16,136.32,136.47,142904400.0,0.0,1.0,0.09,3,7.393960838042446e-06
2012-07-23,134.47,136.3852,133.84,135.09,145210800.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-07-24,135.19,135.25,133.03,133.925,173301100.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-07-25,134.21,134.56,133.25,133.96,129122200.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-07-26,135.89,136.46,135.26,136.17,156526400.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-07-27,136.89,139.07,136.1364,138.675,236768900.0,0.0,1.0,0.11,3,9.03616775715932e-06
2012-07-30,138.52,139.339,138.27,138.68,106781900.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-07-31,138.49,138.87,137.71,137.71,120575800.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-08-01,138.7,138.73,137.4,137.59,138293700.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-08-02,136.55,137.57,135.58,136.64,199556600.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-08-03,138.56,139.64,136.6794,139.349,157825000.0,0.0,1.0,0.09,3,7.393960838042446e-06
2012-08-06,139.72,140.17,139.56,139.62,86327700.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-08-07,140.18,140.92,140.03,140.32,109545100.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-08-08,139.85,140.65,139.81,140.49,89754600.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-08-09,140.29,140.89,140.15,140.61,90291600.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-08-10,140.04,140.89,139.81,140.84,99792600.0,0.0,1.0,0.11,3,9.03616775715932e-06
2012-08-13,140.6,140.84,140.04,140.77,79426900.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-08-14,141.29,141.38,140.37,140.79,102379400.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-08-15,140.64,141.19,140.55,140.95,71085800.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-08-16,141.15,142.16,140.8,141.99,112014200.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-08-17,142.23,142.3,141.86,142.18,90813700.0,0.0,1.0,0.09,3,7.393960838042446e-06
2012-08-20,141.98,142.22,141.59,142.19,78255700.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-08-21,142.54,143.09,141.45,141.76,105581000.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-08-22,141.4,142.05,141.07,141.82,133243400.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-08-23,141.47,141.48,140.44,140.665,111466400.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-08-24,140.31,141.83,140.22,141.51,99481200.0,0.0,1.0,0.11,3,9.03616775715932e-06
2012-08-27,141.89,142.08,141.34,141.54,68785900.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-08-28,141.18,141.84,140.97,141.4,75689600.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-08-29,141.52,141.89,141.12,141.51,65421300.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-08-30,140.9,140.94,140.19,140.49,96589800.0,0.0,1.0,0.12,1,3.285705604705313e-06
2012-08-31,141.29,141.82,140.36,141.16,151970400.0,0.0,1.0,0.1,4,1.095348829682763e-05
2012-09-04,141.04,141.46,140.13,141.03,120226200.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-09-05,141.09,141.47,140.63,140.91,100660200.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-09-06,141.76,143.78,141.75,143.77,158272400.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-09-07,144.01,144.39,143.88,144.33,107272000.0,0.0,1.0,0.11,3,9.03616775715932e-06
2012-09-10,144.19,144.44,143.46,143.51,86458400.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-09-11,143.6,144.37,143.56,143.91,88760000.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-09-12,144.39,144.55,143.9,144.39,87640900.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-09-13,144.37,147.04,143.99,146.59,225470100.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-09-14,146.88,148.11,146.76,147.24,169777000.0,0.0,1.0,0.1,3,8.21510497450717e-06
2012-09-17,146.94,147.19,146.37,146.74,119427700.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-09-18,146.49,146.81,146.25,146.62,98326500.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-09-19,146.79,147.17,146.41,146.7,128318200.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-09-20,146.03,146.79,145.63,146.71,154009700.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-09-21,146.64,146.67,145.81,145.87,108737400.0,0.77945,1.0,0.11,3,9.03616775715932e-06
2012-09-24,145.15,145.98,145.04,145.645,95682000.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-09-25,145.96,146.24,144.06,144.1,133165100.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-09-26,144.065,144.11,142.95,143.295,146502100.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-09-27,143.89,144.97,143.51,144.64,111830200.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-09-28,144.09,144.56,143.46,143.97,150696100.0,0.0,1.0,0.09,3,7.393960838042446e-06
2012-10-01,144.52,145.69,144.0082,144.345,135911100.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-10-02,144.92,145.15,143.83,144.5,113422100.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-10-03,144.89,145.43,144.13,145.09,121283000.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-10-04,145.64,146.34,145.44,146.125,124311600.0,0.0,1.0,0.09,1,2.4646475380585287e-06
