date,open,high,low,close,volume,dividend_amount,split_factor,DGS3MO,calendar_days_to_next,cash_return_to_next
2022-01-07,467.95,469.2,464.65,466.09,85111593,0.0,1.0,0.1,3,8.21510497450717e-06
2022-01-10,462.7,465.74,456.5973,465.51,119361989,0.0,1.0,0.1,1,2.7383608263154e-06
2022-01-11,465.23,469.85,462.05,469.75,73332978,0.0,1.0,0.13,1,3.5593371059405854e-06
2022-01-12,471.59,473.2,468.94,471.02,67605444,0.0,1.0,0.11,1,3.0120468466066086e-06
2022-01-13,472.19,472.88,463.44,464.53,91173121,0.0,1.0,0.12,1,3.285705604705313e-06
2022-01-14,461.19,465.09,459.9,464.72,95890948,0.0,1.0,0.12,4,1.3142887194117492e-05
2022-01-18,459.74,459.96,455.31,456.49,107848237,0.0,1.0,0.13,1,3.5593371059405854e-06
2022-01-19,458.13,459.6124,451.46,451.75,104945382,0.0,1.0,0.16,1,4.380068123088776e-06
2022-01-20,453.75,458.74,444.5,446.75,122379696,0.0,1.0,0.17,1,4.653590651493289e-06
2022-01-21,445.56,448.06,437.95,437.98,202271241,0.0,1.0,0.17,3,1.3960836922066733e-05
2022-01-24,432.03,440.38,420.76,439.84,252496719,0.0,1.0,0.17,1,4.653590651493289e-06
2022-01-25,433.06,439.72,427.15,434.47,167997325,0.0,1.0,0.19,1,5.200554024531456e-06
2022-01-26,440.72,444.04,428.86,433.38,186391088,0.0,1.0,0.19,1,5.200554024531456e-06
2022-01-27,438.26,441.59,429.45,431.24,149878307,0.0,1.0,0.19,1,5.200554024531456e-06
2022-01-28,432.68,442.0,427.82,441.95,164457370,0.0,1.0,0.2,3,1.6422074534006015e-05
2022-01-31,441.24,450.28,439.81,449.91,152251425,0.0,1.0,0.19,1,5.200554024531456e-06
2022-02-01,450.68,453.63,446.9384,452.95,123155382,0.0,1.0,0.22,1,6.020794956373976e-06
2022-02-02,455.5,458.12,453.05,457.35,117360953,0.0,1.0,0.19,1,5.200554024531456e-06
2022-02-03,450.95,452.97,445.71,446.6,118024442,0.0,1.0,0.19,1,5.200554024531456e-06
2022-02-04,446.35,452.78,443.83,448.7,118454352,0.0,1.0,0.2,3,1.6422074534006015e-05
2022-02-07,449.51,450.99,445.85,447.26,84472859,0.0,1.0,0.23,1,6.294154188069001e-06
2022-02-08,446.73,451.92,445.22,450.94,81012036,0.0,1.0,0.27,1,7.387319197693642e-06
2022-02-09,455.22,457.88,455.005,457.54,92589929,0.0,1.0,0.25,1,6.840791065387819e-06
2022-02-10,451.34,457.71,447.2,449.32,140103712,0.0,1.0,0.26,1,7.114068722113842e-06
2022-02-11,449.41,451.605,438.94,440.46,153214597,0.0,1.0,0.4,3,3.281167201341084e-05
2022-02-14,439.92,441.6,435.34,439.02,123006262,0.0,1.0,0.36,1,9.845351232717904e-06
2022-02-15,443.73,446.28,443.18,446.1,88659503,0.0,1.0,0.43,1,1.1755634623300535e-05
2022-02-16,443.93,448.055,441.94,446.6,84863585,0.0,1.0,0.4,1,1.0937104383712535e-05
2022-02-17,443.22,446.5652,436.42,437.06,102259108,0.0,1.0,0.38,1,1.0391282040167482e-05
2022-02-18,437.33,438.66,431.82,434.23,132642896,0.0,1.0,0.36,4,3.938198652009284e-05
