permno,hdrcusip,permco,siccd,nasdissuno,yyyymmdd,sharetype,securitytype,securitysubtype,usincflg,issuertype,primaryexch,conditionaltype,tradingstatusflg,dlycaldt,dlydelflg,dlyprc,dlyprcflg,dlycap,dlycapflg,dlyprevprc,dlyprevprcflg,dlyprevdt,dlyprevcap,dlyprevcapflg,dlyret,dlyretx,dlyreti,dlyretmissflg,dlyretdurflg,dlyorddivamt,dlynonorddivamt,dlyfacprc,dlydistretflg,dlyvol,dlyclose,dlylow,dlyhigh,dlybid,dlyask,dlyopen,dlynumtrd,dlymmcnt,dlyprcvol,dlycumfacpr,dlycumfacshr,cusip,ticker,exchangetier,shrout
84398,78462F10,46699,6726,0,20090729,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-29,N,97.652,TR,68038054.48,BP,97.89,TR,2009-07-28,68203878.6,PB,-0.002431,-0.002431,0.0,NA,D1,0.0,0.0,1.0,NO,194399300.0,97.652,96.98,98.088,97.66,97.66,97.44,,,18983480443.6,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090730,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-30,N,98.67,TR,68747335.8,BP,97.652,TR,2009-07-29,68038054.48,PB,0.010425,0.010425,0.0,NA,D1,0.0,0.0,1.0,NO,225575400.0,98.67,98.6,99.83,98.68,98.69,98.83,,,22257524718.0,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090731,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-31,N,98.81,TR,67056418.4,BP,98.67,TR,2009-07-30,68747335.8,PB,0.001419,0.001419,0.0,NA,D1,0.0,0.0,1.0,NO,207357900.0,98.81,98.38,99.47,98.77,98.78,98.65,,,20489034099.0,1.0,1.0,78462F10,SPY,N/A,678640
84398,78462F10,46699,6726,0,20090803,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-08-03,N,100.44,TR,68162601.6,BP,98.81,TR,2009-07-31,67056418.4,PB,0.016496,0.016496,0.0,NA,D3,0.0,0.0,1.0,NO,175776900.0,100.44,99.31,100.53,100.43,100.4,99.85,,,17655031836.0,1.0,1.0,78462F10,SPY,N/A,678640
84398,78462F10,46699,6726,0,20090804,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-08-04,N,100.7,TR,68339048.0,BP,100.44,TR,2009-08-03,68162601.6,PB,0.002589,0.002589,0.0,NA,D1,0.0,0.0,1.0,NO,176714500.0,100.7,99.78,100.84,100.69,100.7,99.99,,,17795150150.0,1.0,1.0,78462F10,SPY,N/A,678640
84398,78462F10,46699,6726,0,20090805,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-08-05,N,100.41,TR,68142242.4,BP,100.7,TR,2009-08-04,68339048.0,PB,-0.00288,-0.00288,0.0,NA,D1,0.0,0.0,1.0,NO,184726400.0,100.41,99.58,100.855,100.4,100.41,100.77,,,18548377824.0,1.0,1.0,78462F10,SPY,N/A,678640
84398,78462F10,46699,6726,0,20090806,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-08-06,N,99.89,TR,67789349.6,BP,100.41,TR,2009-08-05,68142242.4,PB,-0.005179,-0.005179,0.0,NA,D1,0.0,0.0,1.0,NO,193203700.0,99.89,99.42,101.02,99.88,99.89,100.87,,,19299117593.0,1.0,1.0,78462F10,SPY,N/A,678640
84398,78462F10,46699,6726,0,20090807,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-08-07,N,101.202,TR,68679725.28,BP,99.89,TR,2009-08-06,67789349.6,PB,0.013134,0.013134,0.0,NA,D1,0.0,0.0,1.0,NO,220684400.0,101.202,100.39,102.03,101.18,101.18,100.94,,,22333702648.8,1.0,1.0,78462F10,SPY,N/A,678640
84398,78462F10,46699,6726,0,20090810,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-08-10,N,100.99,TR,68535853.6,BP,101.202,TR,2009-08-07,68679725.28,PB,-0.002095,-0.002095,0.0,NA,D3,0.0,0.0,1.0,NO,130898600.0,100.99,100.27,101.22,100.97,100.98,100.74,,,13219449614.0,1.0,1.0,78462F10,SPY,N/A,678640
84398,78462F10,46699,6726,0,20090811,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-08-11,N,99.73,TR,67680767.2,BP,100.99,TR,2009-08-10,68535853.6,PB,-0.012477,-0.012477,0.0,NA,D1,0.0,0.0,1.0,NO,157301000.0,99.73,99.46,100.61,99.67,99.67,100.54,,,15687628730.0,1.0,1.0,78462F10,SPY,N/A,678640
